DateTime_hr,AssetID,TransactionType,MW,DAMspp,RTMspp,SpreadPred,SpreadReal,Costo_tx_USD
2024-07-19 08:00:00,LSLASSO_GEN-PT,BID,304,16.43,19.02750015258789,51.42431,51.40250030566007,4994.72
2024-07-19 12:00:00,NGBCAL_PUN2-PT,OFFER,256,22.07,19.52999973297119,5.355381,5.357500003017485,4999.679931640625
2024-07-19 16:00:00,LSDUKE_GST1CCU-PT,OFFER,202,66.92,24.6850004196167,16.07062,16.085000295639038,4986.370084762573
2024-07-19 10:00:00,NGBLV4_UNIT_1-SP,OFFER,273,25.31,18.262499809265137,7.2283654,7.242499818801878,4985.662447929382
2024-07-19 16:00:00,NGBTGCCS_ALL-PT,OFFER,202,27.04,24.67750024795532,8.164173,8.147500081062317,4984.855050086974
2024-07-19 01:00:00,LSLASSO_GEN-PT,BID,81,61.21,92.48250198364258,118.073685,117.98749710083008,4958.01
2024-07-19 21:00:00,LSSCLP_PUN1-SP,OFFER,203,25.22,24.59000015258789,3.4196353,3.422499675750732,4991.770030975342
2024-07-19 21:00:00,NGBDUKE_GST1CCU-PT,OFFER,185,28.56,26.987499713897705,7.865094,7.88250026702881,4992.687447071075
2024-07-19 22:00:00,LSSCLP_PUN1-SP,OFFER,247,22.43,20.235000133514404,4.9821076,4.994999914169313,4998.045032978058
2024-07-19 09:00:00,LSBRP_ZPT2_RN-SP,OFFER,288,18.82,17.347500324249268,4.450493,4.474999732971192,4996.080093383789
2024-07-20 08:00:00,LSLASSO_GEN-PT,BID,478,10.45,11.552500009536743,51.386307,51.40250030566007,4995.099999999999
2024-07-20 16:00:00,NGBTGCCS_ALL-PT,OFFER,178,32.01,28.01749992370605,8.181561,8.147500081062317,4987.114986419677
2024-07-20 16:00:00,LSDUKE_GST1CCU-PT,OFFER,178,37.8,28.01749992370605,16.057245,16.085000295639038,4987.114986419677
2024-07-20 12:00:00,NGBCAL_PUN2-PT,OFFER,217,25.68,22.94750022888184,5.341054,5.357500003017485,4979.607549667359
2024-07-20 10:00:00,NGBLV4_UNIT_1-SP,OFFER,381,15.77,13.100000143051147,7.242894,7.242499818801878,4991.100054502487
2024-07-20 14:00:00,NGBCAL_PUN2-PT,OFFER,207,28.3,24.1399998664856,5.031033,5.064999986886978,4996.979972362519
2024-07-20 19:00:00,NGBCAL_PUN2-PT,OFFER,240,46.96,20.76749992370605,16.544123,16.592499504089353,4984.199981689452
2024-07-20 21:00:00,NGBDUKE_GST1CCU-PT,OFFER,265,24.8,18.84999990463257,7.8466854,7.88250026702881,4995.249974727631
2024-07-20 19:00:00,NGBLV4_UNIT_1-SP,OFFER,2484,36.07,2.0124999582767487,7.0349336,7.027499637603761,4999.049896359444
2024-07-20 22:00:00,LSSCLP_PUN1-SP,OFFER,237,22.0,21.039999961853027,4.9659405,4.994999914169313,4986.4799909591675
2024-07-21 16:00:00,LSDUKE_GST1CCU-PT,OFFER,225,29.31,22.170000076293945,16.07758,16.085000295639038,4988.250017166138
2024-07-21 16:00:00,NGBTGCCS_ALL-PT,OFFER,257,24.59,19.4375,8.146346,8.147500081062317,4995.4375
2024-07-21 12:00:00,NGBCAL_PUN2-PT,OFFER,312,21.22,16.014999866485596,5.3664384,5.357500003017485,4996.679958343506
2024-07-21 21:00:00,NGBDUKE_GST1CCU-PT,OFFER,351,28.77,14.21749997138977,7.866362,7.88250026702881,4990.342489957809
2024-07-21 11:00:00,LSBRP_ZPT2_RN-SP,OFFER,312,21.58,15.99749994277954,2.0451264,2.0375000000000014,4991.219982147216
2024-07-21 10:00:00,NGBLV4_UNIT_1-SP,OFFER,327,19.08,15.277499914169312,7.2505884,7.242499818801878,4995.742471933365
2024-07-21 19:00:00,NGBCAL_PUN2-PT,OFFER,242,43.5,20.59500026702881,16.552008,16.592499504089353,4983.990064620972
2024-07-21 14:00:00,NGBCAL_PUN2-PT,OFFER,317,23.54,15.74750018119812,5.0659747,5.064999986886978,4991.957557439804
2024-07-21 15:00:00,LSDUKE_GST1CCU-PT,OFFER,258,26.93,19.31500005722046,13.686546,13.645000252723694,4983.270014762878
2024-07-21 09:00:00,LSBRP_ZPT2_RN-SP,OFFER,324,15.76,15.430000066757202,4.4491115,4.474999732971192,4999.3200216293335
2024-07-22 12:00:00,NGBCAL_PUN2-PT,OFFER,204,26.71,24.49250030517578,5.359344,5.357500003017485,4996.470062255859
2024-07-22 21:00:00,NGBDUKE_GST1CCU-PT,OFFER,230,25.74,21.667500495910645,7.874073,7.88250026702881,4983.525114059448
2024-07-22 21:00:00,LSSCLP_PUN1-SP,OFFER,191,29.52,26.047500133514404,3.4265656,3.422499675750732,4975.072525501251
2024-07-22 09:00:00,LSBRP_ZPT2_RN-SP,OFFER,276,18.91,18.05250024795532,4.4537244,4.474999732971192,4982.490068435668
2024-07-22 23:00:00,LSAZURE_RN-PT,BID,300,16.62,25.324999809265137,10.310993,10.452499904632568,4986.0
2024-07-22 01:00:00,LSLASSO_GEN-PT,BID,86,57.66,60.52250099182129,117.93391,117.98749710083008,4958.759999999999
2024-07-22 10:00:00,NGBLV4_UNIT_1-SP,OFFER,250,23.71,19.975000381469727,7.2858105,7.242499818801878,4993.750095367432
